chr	start	end	startCpG	endCpG	target	name	direction	Adipocytes	Bladder-Ep	Blood-B	Blood-Granul	Blood-Mono+Macro	Blood-NK	Blood-T	Breast-Basal-Ep	Breast-Luminal-Ep	Colon-Ep	Endothel	Epid-Kerat	Eryth-prog	Fallopian-Ep	Gastric-Ep	Head-Neck-Ep	Heart-Cardio	Heart-Fibro	Kidney-Ep	Liver-Hep	Lung-Ep-Alveo	Lung-Ep-Bron	Neuron	Oligodend	Ovary-Ep	Pancreas-Acinar	Pancreas-Alpha	Pancreas-Beta	Pancreas-Delta	Pancreas-Duct	Megakaryocytes	Prostate-Ep	Skeletal-Musc	Small-Int-Ep	Smooth-Musc	Thyroid-Ep
chr1	20355843	20355900	364233	364238	Heart-Fibro	chr1:20355843-20355900	U	0.017	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.136	0.0	0.0	0.0	0.068	0.971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.024	0.0	0.0	0.01	0.0	0.0	0.136	0.0
chr1	22013638	22014602	388657	388663	Eryth-prog	chr1:22013638-22014602	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	22517933	22518650	397623	397630	Smooth-Musc	chr1:22517933-22518650	U	0.333	0.0	0.0	0.0	0.045	0.0	0.119	0.0	0.0	0.0	0.162	0.0	0.0	0.0	0.0	0.0	0.167	0.375	0.0	0.25	0.0	0.0	0.071	0.0	0.0	0.083	0.0	0.0	0.0	0.0	NA	0.0	0.0	0.0	0.5	0.0
chr1	28855995	28856510	497325	497330	Lung-Ep-Alveo	chr1:28855995-28856510	U	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA
chr1	32718447	32718738	547889	547895	Blood-T	chr1:32718447-32718738	U	0.036	0.0	0.088	0.0	0.039	0.226	0.994	0.0	0.0	0.034	0.009	0.0	0.254	0.0	0.005	0.004	0.0	0.035	0.0	0.009	0.014	0.0	0.0	0.0	0.015	0.036	0.0	0.02	0.0	0.015	0.0	0.011	0.0	0.012	0.036	0.02
chr1	32719917	32720788	547917	547932	Blood-T	chr1:32719917-32720788	U	0.013	0.005	0.077	0.0	0.042	0.167	0.879	0.006	0.0	0.003	0.001	0.022	0.111	0.0	0.0	0.008	0.005	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.016	0.004	0.004	0.006
chr1	33263752	33264393	557107	557118	Breast-Luminal-Ep	chr1:33263752-33264393	U	0.0	0.009	0.0	0.0	0.0	0.021	0.015	0.054	0.627	0.0	0.0	0.032	0.041	0.0	0.0	0.037	0.0	0.011	0.0	0.0	0.004	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.004	0.0
chr1	34004606	34004729	567627	567636	Bladder-Ep	chr1:34004606-34004729	U	0.008	0.943	0.0	0.0	0.004	0.0	0.006	0.0	0.0	0.044	0.001	0.0	0.161	0.0	0.018	0.0	0.0	0.014	0.0	0.0	0.006	0.0	0.002	0.0	0.007	0.007	0.009	0.01	0.0	0.0	0.0	0.21	0.011	0.07	0.006	0.0
chr1	39901386	39902140	638302	638311	Pancreas-Duct	chr1:39901386-39902140	U	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.014	0.0	0.006	0.002	0.056	0.045	0.0	0.0	0.015	0.08	0.0	0.04	0.0	0.01	0.024	0.0	0.0	0.0	0.032	0.024	0.163	0.091	0.567	0.0	0.026	0.0	0.0	0.0	0.0
chr1	44305551	44306420	693409	693424	Lung-Ep-Bron	chr1:44305551-44306420	U	0.0	0.06	0.0	0.0	0.005	0.07	0.062	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.008	0.008	0.0	0.012	0.0	0.0	0.045	0.604	0.002	0.0	0.0	0.0	0.0	0.009	0.007	0.0	0.0	0.043	0.0	0.0	0.0	0.0
chr1	46949367	46949430	728523	728529	Pancreas-Duct	chr1:46949367-46949430	U	0.053	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.012	0.0	0.055	0.0	0.093	0.02	0.003	0.0	0.0	0.071	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.121	0.082	0.014	0.979	0.0	0.0	0.031	0.0	0.045	0.0
chr1	47905855	47906213	738700	738708	Colon-Ep	chr1:47905855-47906213	U	0.015	0.009	0.0	0.0	0.013	0.0	0.009	0.0	0.012	1.0	0.106	0.033	0.183	0.167	0.003	0.002	0.188	0.021	0.04	0.082	0.0	0.0	0.064	0.047	0.0	0.008	0.044	0.012	0.052	0.0	0.0	0.007	0.014	0.007	0.076	0.0
chr1	54805307	54805623	806344	806355	Gastric-Ep	chr1:54805307-54805623	U	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.933	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.011	0.0	0.015	0.0
chr1	55096065	55096322	811205	811214	Head-Neck-Ep	chr1:55096065-55096322	U	0.007	0.105	0.084	0.0	0.022	0.027	0.039	0.047	0.129	0.015	0.016	0.125	0.21	0.0	0.0	0.945	0.005	0.03	0.0	0.0	0.017	0.309	0.0	0.006	0.106	0.005	0.007	0.0	0.0	0.0	0.0	0.082	0.009	0.053	0.031	0.0
chr1	55667004	55667231	817911	817920	Skeletal-Musc	chr1:55667004-55667231	U	0.0	0.0	0.0	0.0	0.003	0.0	0.017	0.0	0.014	0.0	0.0	0.0	0.01	0.095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.641	0.0	0.0	0.0
chr1	60046062	60046410	849408	849413	Blood-Mono+Macro	chr1:60046062-60046410	U	0.0	0.0	0.167	0.0	0.95	0.0	0.0	0.0	0.0	0.0	0.034	NA	0.667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	70661377	70661571	931952	931960	Kidney-Ep	chr1:70661377-70661571	U	0.0	0.0	0.0	0.0	0.002	0.0	0.001	0.0	0.0	0.0	0.002	0.0	0.027	0.0	0.0	0.0	0.0	0.012	0.798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.004	0.0	0.0	0.005	0.0
chr1	78986213	78986896	983402	983407	Lung-Ep-Bron	chr1:78986213-78986896	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	85028761	85029068	1019576	1019583	Epid-Kerat	chr1:85028761-85029068	U	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.002	0.745	0.071	0.0	0.0	0.0	0.0	0.021	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	86157317	86157430	1029168	1029173	Heart-Cardio	chr1:86157317-86157430	U	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.047	0.0	0.007	0.0	0.926	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0
chr1	91319920	91320504	1067231	1067238	Ovary-Ep	chr1:91319920-91320504	U	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.333	0.0	0.0	0.0	0.0	0.167	0.222	0.0	0.0	0.0	0.0	0.158	0.0	0.0	0.0	0.056	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	101712282	101712512	1144614	1144626	Blood-B	chr1:101712282-101712512	U	0.036	0.014	0.99	0.0	0.025	0.0	0.0	0.0	0.0	0.005	0.037	0.016	0.044	0.0	0.003	0.003	0.0	0.005	0.02	0.003	0.0	0.0	0.0	0.0	0.006	0.078	0.041	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.034
chr1	110426398	110427130	1203983	1203990	Adipocytes	chr1:110426398-110427130	U	0.736	0.0	0.0	0.0	0.003	0.0	0.002	0.019	0.039	0.0	0.268	0.0	0.252	0.0	0.006	0.011	0.0	0.081	0.0	0.0	0.006	0.0	0.037	0.222	0.01	0.019	0.01	0.0	0.0	0.188	0.0	0.016	0.123	0.0	0.006	0.0
chr1	111961053	111962326	1218758	1218768	Fallopian-Ep	chr1:111961053-111962326	U	0.103	0.031	0.0	0.0	0.011	0.0	0.007	0.0	0.0	0.0	0.006	0.0	0.225	0.964	0.006	0.0	0.038	0.14	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.089	0.02
chr1	111985459	111985651	1218935	1218940	Fallopian-Ep	chr1:111985459-111985651	U	0.02	0.0	0.0	0.04	0.004	0.04	0.008	0.0	0.0	0.0	0.0	0.0	0.143	0.818	0.0	0.004	0.0	0.012	0.0	0.0	0.0	0.014	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	117614584	117615150	1271495	1271505	Gastric-Ep	chr1:117614584-117615150	U	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.962	0.0	0.0	0.012	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	145126176	145126555	1317373	1317379	Bladder-Ep	chr1:145126176-145126555	U	0.0	0.895	0.0	0.0	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	0.5	0.0	0.0	0.0	0.0
chr1	150995966	150996023	1379699	1379704	Heart-Cardio	chr1:150995966-150996023	U	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.004	0.965	0.0	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0
chr1	151684072	151684272	1390532	1390541	Neuron	chr1:151684072-151684272	U	0.019	0.0	0.08	0.0	0.009	0.0	0.013	0.009	0.0	0.0	0.027	0.0	0.119	0.009	0.005	0.044	0.027	0.042	0.0	0.004	0.0	0.0	0.857	0.013	0.007	0.019	0.059	0.135	0.056	0.0	0.0	0.0	0.024	0.0	0.057	0.093
chr1	154254086	154254277	1417347	1417359	Bladder-Ep	chr1:154254086-154254277	U	0.0	0.776	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.061	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.011	0.014	0.0	0.0	0.095	0.014	0.0	0.0	0.0
chr1	156101313	156101821	1448399	1448406	Pancreas-Delta	chr1:156101313-156101821	U	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.082	0.0	0.0	0.023	0.023	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.278	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	156388230	156388344	1453236	1453241	Neuron	chr1:156388230-156388344	U	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.812	0.118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	156727306	156727888	1459483	1459492	Eryth-prog	chr1:156727306-156727888	U	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.0	0.01	0.0
chr1	159927345	159927501	1485322	1485329	Eryth-prog	chr1:159927345-159927501	U	0.022	0.0	0.0	0.0	0.003	0.0	0.004	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.011	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.111	0.0	0.0	0.0	0.0	0.0
chr1	162472870	162473128	1514985	1514991	Smooth-Musc	chr1:162472870-162473128	U	0.0	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.042	0.028	0.0	0.0	0.026	0.0	0.417	0.0	0.0	0.0	0.025	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.051	0.0	0.0	0.927	0.0
chr1	167421177	167421813	1551556	1551572	Blood-NK	chr1:167421177-167421813	U	0.006	0.005	0.0	0.0	0.003	0.639	0.048	0.0	0.0	0.0	0.001	0.0	0.121	0.0	0.003	0.004	0.004	0.0	0.0	0.005	0.0	0.0	0.002	0.0	0.0	0.005	0.006	0.016	0.007	0.0	0.0	0.0	0.0	0.0	0.004	0.0
chr1	167470352	167470592	1552303	1552317	Blood-NK	chr1:167470352-167470592	U	0.034	0.0	0.0	0.0	0.003	0.618	0.057	0.0	0.0	0.0	0.036	0.0	0.073	0.0	0.0	0.006	0.01	0.023	0.0	0.003	0.0	0.01	0.004	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0
chr1	167870100	167870517	1556756	1556761	Colon-Ep	chr1:167870100-167870517	U	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0
chr1	168194169	168194525	1560059	1560065	Ovary-Ep	chr1:168194169-168194525	U	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.071	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0
chr1	168260481	168260699	1560716	1560728	Pancreas-Delta	chr1:168260481-168260699	U	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.042	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.024	0.338	0.927	0.0	0.0	0.0	0.0	0.004	0.0	0.0
chr1	169165330	169166059	1566953	1566960	Fallopian-Ep	chr1:169165330-169166059	U	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.2
chr1	172082548	172082701	1586906	1586913	Megakaryocytes	chr1:172082548-172082701	U	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0
chr1	172579244	172579387	1589957	1589963	Fallopian-Ep	chr1:172579244-172579387	U	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.009	0.022	0.0	0.0	0.975	0.0	0.003	0.009	0.177	0.004	0.0	0.0	0.0	0.003	0.094	0.047	0.328	0.019	0.07	0.048	0.232	0.25	0.0	0.016	0.005	0.006	0.0
chr1	173854822	173855687	1598513	1598531	Blood-Granul	chr1:173854822-173855687	U	0.0	0.0	0.0	0.87	0.02	0.0	0.0	0.0	0.005	0.004	0.001	0.016	0.059	0.0	0.0	0.0	0.004	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.098	0.0	0.0	0.005
chr1	179265091	179265384	1640888	1640899	Pancreas-Duct	chr1:179265091-179265384	U	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.004	0.029	0.011	0.0	0.0	0.018	0.0	0.726	0.0	0.0	0.0	0.0	0.0	0.0
chr1	184078999	184079425	1685321	1685326	Pancreas-Delta	chr1:184078999-184079425	U	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.0	0.217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.833	0.0	0.0	0.0	0.0	0.0	0.158	0.0
chr1	184970698	184970984	1692429	1692449	Bladder-Ep	chr1:184970698-184970984	U	0.0	0.881	0.0	0.0	0.001	0.0	0.002	0.0	0.0	0.015	0.0	0.027	0.058	0.0	0.001	0.064	0.004	0.004	0.0	0.0	0.0	0.098	0.007	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.234	0.0	0.003	0.003	0.0
chr1	198237636	198237874	1770520	1770526	Heart-Fibro	chr1:198237636-198237874	U	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.042	0.0	0.021	0.0	0.0	0.0	0.047	0.85	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049	0.0
chr1	200073859	200074011	1781986	1781992	Small-Int-Ep	chr1:200073859-200074011	U	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.018	0.008	0.0	0.099	0.018	0.0	0.004	0.013	0.041	0.0	0.007	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.012	0.0	0.968	0.031	0.0
chr1	201069470	201070117	1793239	1793249	Skeletal-Musc	chr1:201069470-201070117	U	0.0	0.013	0.069	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.147	0.0	0.0	0.0	0.0	0.052	0.0	0.0	0.0	0.077	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.783	0.0	0.065	0.0
chr1	206277697	206278426	1856984	1857007	Ovary-Ep	chr1:206277697-206278426	U	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.036	0.0	0.122	0.0	0.0	0.094	0.0	0.0	0.0	0.002	0.0	0.899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	226442408	226442836	2031903	2031916	Thyroid-Ep	chr1:226442408-226442836	U	0.0	0.02	0.0	0.0	0.002	0.0	0.001	0.0	0.011	0.004	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.003	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.919
chr1	229476664	229476936	2075025	2075044	Neuron	chr1:229476664-229476936	U	0.0	0.0	0.01	0.006	0.002	0.0	0.01	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.831	0.031	0.0	0.0	0.019	0.009	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	229572271	229572478	2076715	2076722	Skeletal-Musc	chr1:229572271-229572478	U	0.008	0.113	0.023	0.0	0.012	0.01	0.0	0.01	0.014	0.053	0.034	0.121	0.096	0.032	0.023	0.042	0.028	0.008	0.058	0.036	0.056	0.033	0.011	0.008	0.009	0.081	0.034	0.022	0.0	0.024	0.143	0.046	0.585	0.021	0.03	0.02
chr1	229618170	229618509	2077208	2077213	Oligodend	chr1:229618170-229618509	U	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.0	0.003	0.0	0.0	0.005	0.0	0.0	0.0	0.036	0.929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.0	0.023	0.0
chr1	232372658	232372669	2107855	2107860	Head-Neck-Ep	chr1:232372658-232372669	U	0.0	0.008	0.0	0.0	0.002	0.0	0.0	0.033	0.196	0.0	0.018	0.222	0.131	0.0	0.003	0.941	0.0	0.026	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.029	0.0
chr1	234529405	234529509	2127985	2127992	Breast-Basal-Ep	chr1:234529405-234529509	U	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.893	0.03	0.0	0.0	0.0	0.047	0.0	0.0	0.006	0.0	0.007	0.0	0.0	0.0	0.0	0.017	0.037	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.0	0.0	0.0
chr1	236044087	236044287	2147572	2147580	Epid-Kerat	chr1:236044087-236044287	U	0.0	0.048	0.0	0.034	0.005	0.0	0.006	0.0	0.0	0.0	0.0	0.848	0.056	0.01	0.022	0.054	0.016	0.0	0.0	0.0	0.006	0.007	0.071	0.0	0.0	0.023	0.021	0.0	0.012	0.009	0.0	0.014	0.0	0.025	0.0	0.0
chr1	244823723	244823818	2232530	2232537	Lung-Ep-Alveo	chr1:244823723-244823818	U	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.881	0.0	0.031	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	249138696	249138855	2282959	2282966	Head-Neck-Ep	chr1:249138696-249138855	U	0.054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.016	0.0	0.0	0.808	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	3456139	3456395	2336892	2336900	Thyroid-Ep	chr2:3456139-3456395	U	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.0	0.003	0.004	0.0	0.008	0.056	0.0	0.0	0.0	0.006	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.011	0.971
