#chr	start	end	startCpG	endCpG	target	region	lenCpG	bp	tg_mean	bg_mean	delta_means	delta_quants	delta_maxmin	ttest	direction	anno	gene
chr5	123204556	123205221	8476445	8476451	Adipocytes	chr5:123204556-123205221	6CpGs	665bp	0.337	0.87	0.533	0.184	0.0566	1.07e-13	U	Intergenic	CSNK1G3
chr17	47692960	47693460	22856554	22856559	Adipocytes	chr17:47692960-47693460	5CpGs	500bp	0.289	0.859	0.571	0.292	0.051	4.8e-22	U	intron	SPOP
chr15	73988788	73988964	20764094	20764099	Adipocytes	chr15:73988788-73988964	5CpGs	176bp	0.36	0.875	0.515	0.132	0.0497	1.53e-10	U	intron	CD276
chr22	38051826	38052317	26491403	26491411	Adipocytes	chr22:38051826-38052317	8CpGs	491bp	0.361	0.823	0.462	0.104	0.0441	6.73e-10	U	TTS,exon	SH3BP1
chr6	25068659	25069230	9320108	9320115	Adipocytes	chr6:25068659-25069230	7CpGs	571bp	0.374	0.904	0.53	0.174	0.0319	1.94e-16	U	Intergenic	CMAHP
chr17	80024096	80024158	23307133	23307138	Adipocytes	chr17:80024096-80024158	5CpGs	62bp	0.351	0.847	0.496	0.138	0.0314	1.96e-11	U	promoter-TSS	DUS1L
chr8	19438540	19439073	12330688	12330695	Adipocytes	chr8:19438540-19439073	7CpGs	533bp	0.364	0.872	0.508	0.118	0.0305	2.75e-12	U	intron	CSGALNACT1
chr9	111944902	111945064	14199597	14199603	Adipocytes	chr9:111944902-111945064	6CpGs	162bp	0.339	0.831	0.493	0.132	0.0299	3.92e-09	U	intron	EPB41L4B
chr11	62304487	62304527	16537896	16537901	Adipocytes	chr11:62304487-62304527	5CpGs	40bp	0.267	0.903	0.635	0.204	0.0187	4.5e-16	U	intron	AHNAK
chr17	41722916	41723060	22762063	22762068	Adipocytes	chr17:41722916-41723060	5CpGs	144bp	0.355	0.81	0.455	0.147	0.0168	2.1e-09	U	intron	MEOX1
chr12	94389336	94389633	18056762	18056767	Adipocytes	chr12:94389336-94389633	5CpGs	297bp	0.324	0.831	0.507	0.19	0.0114	3.01e-13	U	Intergenic	PLXNC1
chr5	5303926	5304132	7638523	7638529	Adipocytes	chr5:5303926-5304132	6CpGs	206bp	0.369	0.82	0.451	0.169	0.0103	3.85e-12	U	intron	ADAMTS16
chr8	22514202	22515015	12367354	12367362	Adipocytes	chr8:22514202-22515015	8CpGs	813bp	0.337	0.878	0.541	0.148	0.0101	2.99e-14	U	intron	BIN3
chr5	178296635	178296851	9003231	9003238	Adipocytes	chr5:178296635-178296851	7CpGs	216bp	0.358	0.847	0.489	0.0817	0.00612	2.01e-09	U	intron	ZNF354B
chr18	3155154	3155377	23371134	23371143	Adipocytes	chr18:3155154-3155377	9CpGs	223bp	0.357	0.917	0.56	0.303	0.000978	3.94e-24	U	intron	MYOM1
chr9	124064167	124064863	14305295	14305310	Adipocytes	chr9:124064167-124064863	15CpGs	696bp	0.373	0.902	0.528	0.248	-0.00175	2.47e-17	U	exon,intron	GSN
chr11	70685261	70685603	16700728	16700736	Adipocytes	chr11:70685261-70685603	8CpGs	342bp	0.369	0.841	0.472	0.177	-0.00276	5.53e-10	U	intron	SHANK2
chr12	117088493	117088772	18288850	18288855	Adipocytes	chr12:117088493-117088772	5CpGs	279bp	0.282	0.846	0.564	0.179	-0.00445	6.63e-12	U	Intergenic	C12orf49
chr19	4507562	4507878	24168697	24168703	Adipocytes	chr19:4507562-4507878	6CpGs	316bp	0.372	0.851	0.478	0.208	-0.00488	4.45e-13	U	intron	PLIN4
chr9	124063083	124063238	14305277	14305282	Adipocytes	chr9:124063083-124063238	5CpGs	155bp	0.359	0.893	0.534	0.215	-0.00764	1.5e-15	U	intron	GSN
chr22	39664962	39665254	26525158	26525163	Adipocytes	chr22:39664962-39665254	5CpGs	292bp	0.39	0.83	0.439	0.14	-0.00962	7.32e-12	U	Intergenic	PDGFB
chr12	125111263	125111661	18416020	18416027	Adipocytes	chr12:125111263-125111661	7CpGs	398bp	0.338	0.894	0.556	0.169	-0.0116	2.26e-12	U	Intergenic	NCOR2
chr18	71452236	71452390	23917325	23917332	Adipocytes	chr18:71452236-71452390	7CpGs	154bp	0.301	0.827	0.526	0.157	-0.0116	5.14e-11	U	Intergenic	FBXO15
chr9	133811341	133811535	14458186	14458192	Adipocytes	chr9:133811341-133811535	6CpGs	194bp	0.386	0.792	0.406	0.0707	-0.0156	1.15e-06	U	intron	FIBCD1
chr7	95237088	95237448	11449299	11449304	Adipocytes	chr7:95237088-95237448	5CpGs	360bp	0.314	0.849	0.535	0.17	-0.0189	2.31e-10	U	Intergenic	PDK4
chr10	71891102	71891451	15294422	15294428	Adipocytes	chr10:71891102-71891451	6CpGs	349bp	0.272	0.859	0.587	0.244	-0.0229	2.58e-12	U	intron	AIFM2
chr11	12840061	12840807	16158533	16158538	Adipocytes	chr11:12840061-12840807	5CpGs	746bp	0.269	0.878	0.61	0.278	-0.0249	5.51e-14	U	intron	TEAD1
chr13	110946430	110947629	19274353	19274359	Adipocytes	chr13:110946430-110947629	6CpGs	1199bp	0.373	0.86	0.487	0.136	-0.0277	1.39e-12	U	intron	COL4A1
chr20	60782586	60782684	25731000	25731007	Adipocytes	chr20:60782586-60782684	7CpGs	98bp	0.295	0.82	0.524	0.137	-0.0278	5.81e-10	U	Intergenic	HRH3
chr1	12559496	12560014	251636	251647	Adipocytes	chr1:12559496-12560014	11CpGs	518bp	0.231	0.914	0.682	0.44	-0.0328	3.19e-21	U	intron	VPS13D
chr8	122776475	122776909	13132429	13132435	Adipocytes	chr8:122776475-122776909	6CpGs	434bp	0.261	0.811	0.549	0.184	-0.0357	8.3e-10	U	Intergenic	HAS2
chr1	208816387	208816511	1879361	1879366	Adipocytes	chr1:208816387-208816511	5CpGs	124bp	0.37	0.823	0.454	0.0856	-0.0371	6.11e-08	U	Intergenic	PLXNA2
chr2	10955156	10955481	2422660	2422669	Adipocytes	chr2:10955156-10955481	9CpGs	325bp	0.33	0.877	0.546	0.216	-0.04	2.05e-17	U	Intergenic	PDIA6
chr2	1718267	1718569	2311236	2311244	Adipocytes	chr2:1718267-1718569	8CpGs	302bp	0.338	0.85	0.512	0.0923	-0.0409	1.69e-09	U	intron	PXDN
chr12	115682865	115683070	18274516	18274521	Adipocytes	chr12:115682865-115683070	5CpGs	205bp	0.299	0.866	0.567	0.167	-0.0449	5.84e-13	U	Intergenic	TBX3
chr6	148702291	148702823	10264689	10264695	Adipocytes	chr6:148702291-148702823	6CpGs	532bp	0.356	0.86	0.503	0.123	-0.0469	3.25e-10	U	intron	SASH1
chr18	45828285	45828616	23711967	23711973	Adipocytes	chr18:45828285-45828616	6CpGs	331bp	0.369	0.859	0.49	0.0898	-0.0502	6.89e-09	U	Intergenic	ZBTB7C
chr12	64331589	64331861	17857614	17857621	Adipocytes	chr12:64331589-64331861	7CpGs	272bp	0.282	0.878	0.597	0.145	-0.0659	2.93e-12	U	intron	SRGAP1
chr7	1096422	1096548	10560565	10560570	Adipocytes	chr7:1096422-1096548	5CpGs	126bp	0.297	0.831	0.533	0.162	-0.0672	1.86e-11	U	promoter-TSS	GPR146
chr19	48219990	48220176	24864428	24864442	Adipocytes	chr19:48219990-48220176	14CpGs	186bp	0.271	0.863	0.592	0.176	-0.0723	1.45e-15	U	exon	EHD2
chr13	110896068	110896287	19273554	19273561	Adipocytes	chr13:110896068-110896287	7CpGs	219bp	0.299	0.87	0.571	0.171	-0.0762	2.06e-11	U	intron	COL4A1
chr14	95948245	95948497	20030457	20030462	Adipocytes	chr14:95948245-95948497	5CpGs	252bp	0.337	0.859	0.522	0.265	-0.0833	4.8e-14	U	Intergenic	SYNE3
chr13	107115260	107115679	19238219	19238228	Adipocytes	chr13:107115260-107115679	9CpGs	419bp	0.285	0.841	0.556	0.255	-0.0865	1.26e-14	U	Intergenic	EFNB2
chr7	116171050	116171732	11654711	11654716	Adipocytes	chr7:116171050-116171732	5CpGs	682bp	0.367	0.881	0.514	0.163	-0.0889	4.9e-13	U	intron	CAV1
chr4	114766313	114766722	6976672	6976678	Adipocytes	chr4:114766313-114766722	6CpGs	409bp	0.278	0.833	0.556	0.168	-0.0896	1.81e-09	U	Intergenic	CAMK2D
chr7	33450505	33450884	10905107	10905112	Adipocytes	chr7:33450505-33450884	5CpGs	379bp	0.275	0.887	0.612	0.196	-0.0902	2.33e-13	U	intron	BBS9
chr11	18994018	18994128	16211500	16211509	Adipocytes	chr11:18994018-18994128	9CpGs	110bp	0.321	0.849	0.529	0.127	-0.0905	4.36e-10	U	Intergenic	MRGPRX1
chr17	38449415	38450262	22711885	22711890	Adipocytes	chr17:38449415-38450262	5CpGs	847bp	0.333	0.896	0.562	0.24	-0.0926	1.38e-16	U	exon,intron	CDC6
chr18	57396096	57396967	23813624	23813630	Adipocytes	chr18:57396096-57396967	6CpGs	871bp	0.389	0.835	0.447	0.152	-0.0988	5.37e-09	U	Intergenic	CCBE1
chr2	238314091	238314154	4355874	4355879	Adipocytes	chr2:238314091-238314154	5CpGs	63bp	0.243	0.874	0.631	0.213	-0.104	1.66e-14	U	intron	COL6A3
chr17	76471416	76471616	23214241	23214251	Adipocytes	chr17:76471416-76471616	10CpGs	200bp	0.394	0.775	0.381	0.0586	-0.105	1.43e-05	U	exon,intron	DNAH17
chr19	45293500	45293653	24799273	24799279	Adipocytes	chr19:45293500-45293653	6CpGs	153bp	0.316	0.789	0.473	0.0871	-0.109	2.14e-08	U	intron	CBLC
chr3	179388211	179388365	5867804	5867809	Adipocytes	chr3:179388211-179388365	5CpGs	154bp	0.244	0.861	0.617	0.201	-0.116	3.03e-12	U	intron	USP13
chr10	71890190	71890613	15294411	15294416	Adipocytes	chr10:71890190-71890613	5CpGs	423bp	0.33	0.888	0.558	0.177	-0.13	1.15e-16	U	intron	AIFM2
chr2	109942715	109942956	3294977	3294982	Adipocytes	chr2:109942715-109942956	5CpGs	241bp	0.333	0.859	0.526	0.112	-0.134	4.77e-09	U	intron	SH3RF3
chr2	127878592	127878832	3458229	3458234	Adipocytes	chr2:127878592-127878832	5CpGs	240bp	0.209	0.877	0.668	0.24	-0.141	1.75e-12	U	Intergenic	BIN1
chr15	74881568	74881807	20776758	20776769	Adipocytes	chr15:74881568-74881807	11CpGs	239bp	0.37	0.858	0.487	0.0613	-0.143	2.86e-07	U	intron	ARID3B
chr18	33313390	33313760	23620802	23620809	Adipocytes	chr18:33313390-33313760	7CpGs	370bp	0.374	0.848	0.475	0.112	-0.154	3.02e-09	U	Intergenic	GALNT1
chr8	10576848	10576922	12242095	12242100	Adipocytes	chr8:10576848-10576922	5CpGs	74bp	0.339	0.878	0.539	0.148	-0.173	5.52e-14	U	Intergenic	SOX7
chr2	206569568	206570211	4051241	4051246	Adipocytes	chr2:206569568-206570211	5CpGs	643bp	0.383	0.852	0.47	0.0779	-0.177	1.76e-07	U	intron	NRP2
chr12	1903818	1903870	17299849	17299854	Adipocytes	chr12:1903818-1903870	5CpGs	52bp	0.362	0.886	0.524	0.201	-0.18	2.23e-14	U	intron	CACNA2D4
chr22	45998871	45999063	26640500	26640508	Adipocytes	chr22:45998871-45999063	8CpGs	192bp	0.364	0.878	0.515	0.203	-0.187	1.51e-13	U	Intergenic	ATXN10
chr4	38046966	38047177	6459235	6459240	Adipocytes	chr4:38046966-38047177	5CpGs	211bp	0.344	0.903	0.559	0.183	-0.187	2.52e-14	U	intron	TBC1D1
chr12	2037717	2037873	17302443	17302452	Adipocytes	chr12:2037717-2037873	9CpGs	156bp	0.359	0.86	0.501	0.119	-0.188	2.68e-10	U	TTS	LOC100271702
chr2	44463142	44463413	2741125	2741130	Adipocytes	chr2:44463142-44463413	5CpGs	271bp	0.319	0.881	0.562	0.119	-0.19	6.59e-12	U	Intergenic	SLC3A1
chr17	41004345	41004548	22750448	22750455	Adipocytes	chr17:41004345-41004548	7CpGs	203bp	0.272	0.863	0.59	0.316	-0.193	5.18e-17	U	exon	AOC3
chr17	41003817	41004325	22750428	22750448	Adipocytes	chr17:41003817-41004325	20CpGs	508bp	0.352	0.904	0.552	0.305	-0.2	6.34e-21	U	exon	AOC3
chr17	41004636	41004930	22750457	22750471	Adipocytes	chr17:41004636-41004930	14CpGs	294bp	0.28	0.892	0.613	0.325	-0.2	4.4e-19	U	exon	AOC3
chr17	1378763	1378921	22219412	22219421	Adipocytes	chr17:1378763-1378921	9CpGs	158bp	0.309	0.925	0.616	0.268	-0.202	4.51e-20	U	intron	MYO1C
chr12	13353280	13353801	17440012	17440020	Adipocytes	chr12:13353280-13353801	8CpGs	521bp	0.341	0.843	0.502	0.0981	-0.21	1.68e-08	U	intron	EMP1
chr17	77435410	77435569	23235256	23235262	Adipocytes	chr17:77435410-77435569	6CpGs	159bp	0.394	0.817	0.423	0.0982	-0.212	1.52e-07	U	intron	RBFOX3
chr17	40577387	40577762	22741997	22742002	Adipocytes	chr17:40577387-40577762	5CpGs	375bp	0.242	0.83	0.588	0.25	-0.213	1.12e-11	U	Intergenic	PTRF
chr8	128170234	128170261	13180976	13180981	Adipocytes	chr8:128170234-128170261	5CpGs	27bp	0.294	0.909	0.615	0.258	-0.218	1.39e-12	U	Intergenic	PCAT1
chr17	75673191	75673509	23198055	23198062	Adipocytes	chr17:75673191-75673509	7CpGs	318bp	0.307	0.794	0.486	0.0955	-0.222	1.05e-07	U	Intergenic	LOC100507351
chr7	151662343	151662407	11977491	11977496	Adipocytes	chr7:151662343-151662407	5CpGs	64bp	0.368	0.89	0.522	0.194	-0.223	8.19e-13	U	intron	GALNTL5
chr1	96991151	96991596	1114600	1114605	Adipocytes	chr1:96991151-96991596	5CpGs	445bp	0.371	0.871	0.5	0.11	-0.224	8.25e-10	U	Intergenic	PTBP2
chr12	125114610	125114926	18416076	18416082	Adipocytes	chr12:125114610-125114926	6CpGs	316bp	0.352	0.883	0.532	0.121	-0.225	3.11e-09	U	Intergenic	NCOR2
chr9	129882759	129883094	14381406	14381422	Adipocytes	chr9:129882759-129883094	16CpGs	335bp	0.319	0.866	0.547	0.185	-0.24	4.88e-11	U	intron	ANGPTL2
chr4	144203887	144204237	7166565	7166580	Adipocytes	chr4:144203887-144204237	15CpGs	350bp	0.336	0.895	0.559	0.158	-0.244	1.99e-11	U	Intergenic	GAB1
chr6	151857256	151857511	10303014	10303024	Adipocytes	chr6:151857256-151857511	10CpGs	255bp	0.36	0.898	0.538	0.259	-0.248	6.74e-15	U	intron	CCDC170
chr6	5130525	5130907	9120986	9120993	Adipocytes	chr6:5130525-5130907	7CpGs	382bp	0.327	0.871	0.544	0.264	-0.25	1.22e-13	U	intron	LYRM4
chr3	32231805	32232538	4719830	4719838	Adipocytes	chr3:32231805-32232538	8CpGs	733bp	0.352	0.839	0.487	0.0797	-0.253	4.99e-08	U	Intergenic	CMTM8
chr17	62011700	62011798	23008492	23008497	Adipocytes	chr17:62011700-62011798	5CpGs	98bp	0.258	0.827	0.57	0.242	-0.254	2.98e-11	U	Intergenic	CD79B
chr4	8188123	8188193	6230530	6230535	Adipocytes	chr4:8188123-8188193	5CpGs	70bp	0.35	0.842	0.492	0.108	-0.256	1.75e-09	U	Intergenic	SH3TC1
chr2	242517608	242518105	4434155	4434162	Adipocytes	chr2:242517608-242518105	7CpGs	497bp	0.334	0.865	0.532	0.149	-0.28	1.36e-10	U	Intergenic	BOK-AS1
chr8	82400919	82401473	12850271	12850278	Adipocytes	chr8:82400919-82401473	7CpGs	554bp	0.356	0.868	0.512	0.114	-0.283	1.55e-08	U	Intergenic	FABP4
chr2	238406391	238406507	4357232	4357239	Adipocytes	chr2:238406391-238406507	7CpGs	116bp	0.339	0.847	0.508	0.0772	-0.303	1.69e-08	U	intron	MLPH
chr1	65955930	65956591	900654	900660	Adipocytes	chr1:65955930-65956591	6CpGs	661bp	0.377	0.854	0.477	0.0863	-0.312	1.95e-07	U	intron	LEPR
chr9	134195865	134195923	14465927	14465932	Adipocytes	chr9:134195865-134195923	5CpGs	58bp	0.36	0.909	0.549	0.132	-0.314	1.35e-13	U	Intergenic	PPAPDC3
chr9	19129150	19129252	13555799	13555806	Adipocytes	chr9:19129150-19129252	7CpGs	102bp	0.29	0.84	0.551	0.218	-0.32	1.66e-12	U	Intergenic	PLIN2
chr9	133811283	133811331	14458181	14458186	Adipocytes	chr9:133811283-133811331	5CpGs	48bp	0.297	0.869	0.572	0.206	-0.33	1.06e-13	U	intron	FIBCD1
chr20	59920155	59920394	25710613	25710620	Adipocytes	chr20:59920155-59920394	7CpGs	239bp	0.346	0.863	0.517	0.202	-0.337	1.05e-11	U	intron	CDH4
chr6	11952164	11952844	9192096	9192101	Adipocytes	chr6:11952164-11952844	5CpGs	680bp	0.339	0.807	0.468	0.0916	-0.341	9.86e-07	U	Intergenic	HIVEP1
chr14	95882436	95882540	20029475	20029480	Adipocytes	chr14:95882436-95882540	5CpGs	104bp	0.345	0.896	0.551	0.248	-0.345	2.9e-17	U	Intergenic	LINC00341
chr8	62322984	62323326	12704890	12704897	Adipocytes	chr8:62322984-62323326	7CpGs	342bp	0.351	0.846	0.494	0.119	-0.359	5.16e-09	U	intron	CLVS1
chr19	30197316	30197749	24562691	24562699	Adipocytes	chr19:30197316-30197749	8CpGs	433bp	0.349	0.854	0.505	0.0917	-0.367	6.23e-08	U	intron	C19orf12
chr6	52409364	52409474	9623093	9623100	Adipocytes	chr6:52409364-52409474	7CpGs	110bp	0.36	0.88	0.52	0.0718	-0.381	5.02e-08	U	intron	TRAM2
chr18	60904483	60904663	23843173	23843180	Adipocytes	chr18:60904483-60904663	7CpGs	180bp	0.383	0.891	0.508	0.187	-0.4	9.84e-10	U	intron	BCL2
chr7	3198119	3198426	10619318	10619328	Adipocytes	chr7:3198119-3198426	10CpGs	307bp	0.356	0.849	0.493	0.0914	-0.411	4.74e-09	U	Intergenic	CARD11
chr6	34778179	34778644	9451046	9451053	Bladder-Ep	chr6:34778179-34778644	7CpGs	465bp	0.164	0.937	0.773	0.645	0.466	9.9e-102	U	intron	UHRF1BP1
chr16	32889552	32889614	21601426	21601432	Bladder-Ep	chr16:32889552-32889614	6CpGs	62bp	0.176	0.918	0.742	0.508	0.441	2.5e-70	U	intron	SLC6A10P
chr4	2961192	2961472	6140392	6140401	Bladder-Ep	chr4:2961192-2961472	9CpGs	280bp	0.153	0.941	0.788	0.605	0.438	4.44e-82	U	intron	NOP14
chr2	135276067	135276150	3542355	3542360	Bladder-Ep	chr2:135276067-135276150	5CpGs	83bp	0.0957	0.926	0.83	0.595	0.418	1.59e-74	U	intron	TMEM163
chr1	145126176	145126555	1317373	1317379	Bladder-Ep	chr1:145126176-145126555	6CpGs	379bp	0.134	0.918	0.784	0.567	0.418	1.09e-52	U	Intergenic	SEC22B
chr10	133993221	133993304	15939063	15939068	Bladder-Ep	chr10:133993221-133993304	5CpGs	83bp	0.136	0.912	0.776	0.587	0.412	9.39e-76	U	intron	JAKMIP3
chr7	116048933	116049199	11653590	11653606	Bladder-Ep	chr7:116048933-116049199	16CpGs	266bp	0.145	0.924	0.779	0.548	0.395	6.86e-72	U	Intergenic	CAV2
chr7	97408637	97408741	11465464	11465469	Bladder-Ep	chr7:97408637-97408741	5CpGs	104bp	0.108	0.946	0.838	0.614	0.393	4.91e-71	U	Intergenic	TAC1
chr1	34004606	34004729	567627	567636	Bladder-Ep	chr1:34004606-34004729	9CpGs	123bp	0.0898	0.9	0.81	0.564	0.384	1.08e-62	U	intron	CSMD2
chr1	184970698	184970984	1692429	1692449	Bladder-Ep	chr1:184970698-184970984	20CpGs	286bp	0.114	0.926	0.812	0.593	0.38	7.53e-75	U	Intergenic	FAM129A
chr16	28578899	28579559	21525375	21525381	Bladder-Ep	chr16:28578899-28579559	6CpGs	660bp	0.164	0.949	0.785	0.583	0.38	5.7e-87	U	intron	CCDC101
chr1	154254086	154254277	1417347	1417359	Bladder-Ep	chr1:154254086-154254277	12CpGs	191bp	0.221	0.918	0.697	0.56	0.375	3.17e-84	U	Intergenic	HAX1
chr10	9271378	9271574	14753306	14753313	Bladder-Ep	chr10:9271378-9271574	7CpGs	196bp	0.0928	0.892	0.799	0.577	0.374	8.04e-61	U	Intergenic	GATA3
chr3	189704095	189704172	5970820	5970826	Bladder-Ep	chr3:189704095-189704172	6CpGs	77bp	0.0438	0.927	0.883	0.596	0.372	1.36e-62	U	intron	LEPREL1
chr3	120097307	120097436	5399661	5399673	Bladder-Ep	chr3:120097307-120097436	12CpGs	129bp	0.18	0.937	0.756	0.54	0.366	1.3e-71	U	Intergenic	MIR198
chr16	33785709	33785771	21611976	21611981	Bladder-Ep	chr16:33785709-33785771	5CpGs	62bp	0.146	0.916	0.771	0.526	0.359	2.61e-66	U	Intergenic	LINC00273
chr19	11926771	11927571	24327154	24327166	Bladder-Ep	chr19:11926771-11927571	12CpGs	800bp	0.12	0.923	0.803	0.524	0.357	1.96e-52	U	intron	ZNF440
chr13	111691869	111692013	19287166	19287172	Bladder-Ep	chr13:111691869-111692013	6CpGs	144bp	0.207	0.934	0.726	0.546	0.354	5.36e-81	U	Intergenic	ARHGEF7
chr14	81856494	81856863	19898590	19898595	Bladder-Ep	chr14:81856494-81856863	5CpGs	369bp	0.196	0.935	0.739	0.525	0.351	2.98e-61	U	intron	STON2
chr4	38568851	38569129	6463951	6463959	Bladder-Ep	chr4:38568851-38569129	8CpGs	278bp	0.176	0.926	0.75	0.555	0.351	2.62e-75	U	Intergenic	KLF3
chr2	122419715	122420778	3418577	3418585	Bladder-Ep	chr2:122419715-122420778	8CpGs	1063bp	0.288	0.905	0.618	0.432	0.349	4.47e-54	U	intron	LOC254128
chr15	77448649	77448988	20809856	20809873	Bladder-Ep	chr15:77448649-77448988	17CpGs	339bp	0.135	0.92	0.784	0.464	0.347	2.1e-45	U	intron	PEAK1
chr6	34966596	34967579	9453054	9453073	Bladder-Ep	chr6:34966596-34967579	19CpGs	983bp	0.141	0.945	0.804	0.605	0.347	4.03e-80	U	intron	ANKS1A
chrY	28486018	28486203	28208023	28208034	Bladder-Ep	chrY:28486018-28486203	11CpGs	185bp	0.199	0.877	0.678	0.389	0.343	2.44e-32	U	Intergenic	TTTY3B
chr4	2961841	2962323	6140407	6140418	Bladder-Ep	chr4:2961841-2962323	11CpGs	482bp	0.3	0.92	0.62	0.428	0.342	7.78e-63	U	intron	NOP14
chr18	8683408	8684225	23423066	23423072	Bladder-Ep	chr18:8683408-8684225	6CpGs	817bp	0.175	0.908	0.733	0.472	0.341	1.55e-51	U	Intergenic	SOGA2
chr17	39658076	39658664	22724996	22725005	Bladder-Ep	chr17:39658076-39658664	9CpGs	588bp	0.172	0.891	0.719	0.524	0.34	3.21e-48	U	intron	KRT13
chr18	2592393	2593368	23364351	23364361	Bladder-Ep	chr18:2592393-2593368	10CpGs	975bp	0.226	0.947	0.721	0.518	0.335	3.62e-69	U	intron	NDC80
chr2	113715851	113716005	3336869	3336874	Bladder-Ep	chr2:113715851-113716005	5CpGs	154bp	0.126	0.901	0.775	0.571	0.334	1.91e-60	U	Intergenic	IL36G
chr4	89768104	89768913	6814561	6814570	Bladder-Ep	chr4:89768104-89768913	9CpGs	809bp	0.239	0.924	0.685	0.402	0.33	1.38e-59	U	intron	FAM13A
chr7	102380675	102381115	11556002	11556008	Bladder-Ep	chr7:102380675-102381115	6CpGs	440bp	0.234	0.921	0.687	0.475	0.328	1.25e-64	U	Intergenic	FAM185A
chr7	140510166	140510603	11859885	11859896	Bladder-Ep	chr7:140510166-140510603	11CpGs	437bp	0.183	0.928	0.745	0.536	0.327	1.66e-66	U	intron	BRAF
chr16	12236884	12237154	21323689	21323700	Bladder-Ep	chr16:12236884-12237154	11CpGs	270bp	0.303	0.942	0.639	0.392	0.324	4.21e-62	U	intron	SNX29
chr16	1576680	1576810	21144319	21144332	Bladder-Ep	chr16:1576680-1576810	13CpGs	130bp	0.18	0.927	0.747	0.486	0.323	1.5e-63	U	exon,intron	IFT140
chr11	75405128	75405563	16760002	16760008	Bladder-Ep	chr11:75405128-75405563	6CpGs	435bp	0.143	0.878	0.735	0.448	0.322	3.2e-46	U	Intergenic	MOGAT2
chr8	62146817	62146950	12703801	12703806	Bladder-Ep	chr8:62146817-62146950	5CpGs	133bp	0.0874	0.835	0.748	0.402	0.321	6.56e-34	U	Intergenic	CLVS1
chr1	15232920	15233019	281868	281873	Bladder-Ep	chr1:15232920-15233019	5CpGs	99bp	0.208	0.903	0.695	0.419	0.32	2.56e-53	U	intron	KAZN
chr10	111585736	111585936	15677880	15677894	Bladder-Ep	chr10:111585736-111585936	14CpGs	200bp	0.134	0.926	0.792	0.474	0.32	1.24e-55	U	Intergenic	XPNPEP1
chr11	57500830	57501055	16484046	16484057	Bladder-Ep	chr11:57500830-57501055	11CpGs	225bp	0.237	0.934	0.697	0.443	0.32	9.22e-61	U	intron	TMX2-CTNND1
chr2	189648457	189648529	3920395	3920401	Bladder-Ep	chr2:189648457-189648529	6CpGs	72bp	0.195	0.933	0.738	0.512	0.319	8.78e-69	U	intron	DIRC1
chr14	102493027	102493778	20117580	20117594	Bladder-Ep	chr14:102493027-102493778	14CpGs	751bp	0.123	0.887	0.764	0.482	0.319	3.68e-46	U	intron	DYNC1H1
chr2	48736358	48736769	2785832	2785838	Bladder-Ep	chr2:48736358-48736769	6CpGs	411bp	0.154	0.893	0.738	0.43	0.318	1.89e-41	U	intron	PPP1R21
