#chr	start	end	startCpG	endCpG	target	region	lenCpG	bp	tg_mean	bg_mean	delta_means	delta_quants	delta_maxmin	ttest	direction
chr2	10815211	10815355	2513389	2513394	Adipocytes	chr2:10815211-10815355	5CpGs	144bp	0.374	0.877	0.503	0.213	-0.053	2.12e-16	U
chr17	40293163	40294010	23483134	23483139	Adipocytes	chr17:40293163-40294010	5CpGs	847bp	0.339	0.888	0.55	0.235	-0.0626	1.76e-16	U
chr18	48301914	48302245	24569319	24569325	Adipocytes	chr18:48301914-48302245	6CpGs	331bp	0.383	0.853	0.47	0.085	-0.0628	1.09e-08	U
chr9	127898160	127898325	14797397	14797406	Adipocytes	chr9:127898160-127898325	9CpGs	165bp	0.262	0.824	0.562	0.176	-0.0718	1.97e-10	U
chr11	18972471	18972581	16656031	16656040	Adipocytes	chr11:18972471-18972581	9CpGs	110bp	0.329	0.841	0.512	0.124	-0.0784	2.29e-10	U
chr4	113845157	113845566	7174237	7174243	Adipocytes	chr4:113845157-113845566	6CpGs	409bp	0.284	0.829	0.544	0.18	-0.0793	1.15e-09	U
chr16	48531559	48531653	22335250	22335256	Adipocytes	chr16:48531559-48531653	6CpGs	94bp	0.379	0.877	0.499	0.0687	-0.0893	1.12e-09	U
chr14	95481908	95482160	20630275	20630280	Adipocytes	chr14:95481908-95482160	5CpGs	252bp	0.359	0.846	0.488	0.228	-0.0907	5.22e-13	U
chr11	44940849	44940976	16841645	16841650	Adipocytes	chr11:44940849-44940976	5CpGs	127bp	0.326	0.873	0.546	0.14	-0.0949	7.4e-13	U
chr5	78808847	78809008	8438909	8438914	Adipocytes	chr5:78808847-78809008	5CpGs	161bp	0.332	0.843	0.511	0.129	-0.0994	1.18e-09	U
chr7	33410893	33411272	11199244	11199249	Adipocytes	chr7:33410893-33411272	5CpGs	379bp	0.278	0.879	0.601	0.214	-0.102	9.7e-14	U
chr13	110243721	110243940	19835665	19835672	Adipocytes	chr13:110243721-110243940	7CpGs	219bp	0.323	0.861	0.538	0.137	-0.103	3.29e-11	U
chr17	42851800	42851854	23521766	23521772	Adipocytes	chr17:42851800-42851854	6CpGs	54bp	0.273	0.859	0.586	0.279	-0.109	2.69e-14	U
chr2	109326259	109326500	3413741	3413746	Adipocytes	chr2:109326259-109326500	5CpGs	241bp	0.343	0.853	0.509	0.11	-0.109	2.66e-09	U
chr20	62207530	62207598	26691381	26691386	Adipocytes	chr20:62207530-62207598	5CpGs	68bp	0.345	0.839	0.495	0.103	-0.115	1.96e-09	U
chr10	70130434	70130857	15732011	15732016	Adipocytes	chr10:70130434-70130857	5CpGs	423bp	0.348	0.879	0.531	0.114	-0.118	1.36e-15	U
chr22	38304760	38304814	27606014	27606019	Adipocytes	chr22:38304760-38304814	5CpGs	54bp	0.328	0.865	0.536	0.175	-0.123	1.22e-09	U
chr3	179670423	179670577	6036497	6036502	Adipocytes	chr3:179670423-179670577	5CpGs	154bp	0.262	0.854	0.592	0.191	-0.124	2.89e-12	U
chr2	237405448	237405511	4474608	4474613	Adipocytes	chr2:237405448-237405511	5CpGs	63bp	0.249	0.868	0.619	0.21	-0.136	1.38e-14	U
chr3	12147970	12148101	4677554	4677562	Adipocytes	chr3:12147970-12148101	8CpGs	131bp	0.326	0.878	0.551	0.122	-0.138	2.12e-13	U
chr1	153774404	153774629	1498826	1498831	Adipocytes	chr1:153774404-153774629	5CpGs	225bp	0.298	0.825	0.527	0.142	-0.148	1.39e-08	U
chr2	127121016	127121256	3576998	3577003	Adipocytes	chr2:127121016-127121256	5CpGs	240bp	0.224	0.87	0.645	0.231	-0.149	1.58e-12	U
chr10	4632628	4633106	15106621	15106627	Adipocytes	chr10:4632628-4633106	6CpGs	478bp	0.354	0.848	0.495	0.0731	-0.152	7.6e-10	U
chr2	237278076	237278368	4473041	4473050	Adipocytes	chr2:237278076-237278368	9CpGs	292bp	0.376	0.821	0.445	0.0914	-0.158	1.39e-08	U
chr12	1928551	1928707	17789152	17789161	Adipocytes	chr12:1928551-1928707	9CpGs	156bp	0.357	0.853	0.496	0.129	-0.159	1.27e-10	U
chr3	12319813	12320020	4679370	4679376	Adipocytes	chr3:12319813-12320020	6CpGs	207bp	0.373	0.847	0.474	0.125	-0.16	6.53e-10	U
chr16	88670165	88670437	22826235	22826244	Adipocytes	chr16:88670165-88670437	9CpGs	272bp	0.385	0.885	0.5	0.151	-0.16	7.89e-13	U
chr22	45602991	45603183	27740223	27740231	Adipocytes	chr22:45602991-45603183	8CpGs	192bp	0.358	0.872	0.514	0.217	-0.177	7.37e-14	U
chr8	10719338	10719412	12591460	12591465	Adipocytes	chr8:10719338-10719412	5CpGs	74bp	0.35	0.872	0.521	0.187	-0.177	3.93e-14	U
chr17	42851953	42852308	23521772	23521786	Adipocytes	chr17:42851953-42852308	14CpGs	355bp	0.368	0.909	0.541	0.302	-0.18	2.04e-23	U
chr10	69473885	69474410	15724175	15724181	Adipocytes	chr10:69473885-69474410	6CpGs	525bp	0.324	0.84	0.515	0.109	-0.184	6.68e-08	U
chr12	1794652	1794704	17786557	17786562	Adipocytes	chr12:1794652-1794704	5CpGs	52bp	0.374	0.88	0.505	0.204	-0.184	1.21e-14	U
chr17	42852619	42852913	23521795	23521809	Adipocytes	chr17:42852619-42852913	14CpGs	294bp	0.288	0.885	0.597	0.317	-0.188	1.98e-19	U
chr17	42852328	42852531	23521786	23521793	Adipocytes	chr17:42852328-42852531	7CpGs	203bp	0.29	0.855	0.565	0.316	-0.192	8.4e-17	U
chr5	37810790	37810879	8091908	8091913	Adipocytes	chr5:37810790-37810879	5CpGs	89bp	0.356	0.808	0.452	0.0942	-0.194	5.58e-09	U
chr2	44236003	44236274	2831733	2831738	Adipocytes	chr2:44236003-44236274	5CpGs	271bp	0.345	0.876	0.53	0.103	-0.203	3.15e-11	U
chr17	42425369	42425744	23513336	23513341	Adipocytes	chr17:42425369-42425744	5CpGs	375bp	0.251	0.822	0.57	0.239	-0.207	2.49e-11	U
chr13	40381996	40382346	19325658	19325672	Adipocytes	chr13:40381996-40382346	14CpGs	350bp	0.363	0.92	0.557	0.323	-0.21	6.11e-23	U
chr8	127157989	127158016	13559779	13559784	Adipocytes	chr8:127157989-127158016	5CpGs	27bp	0.321	0.896	0.575	0.187	-0.212	2.9e-12	U
chr12	124630064	124630380	18941346	18941352	Adipocytes	chr12:124630064-124630380	6CpGs	316bp	0.359	0.872	0.513	0.12	-0.214	2.07e-09	U
chr11	107732148	107732293	17471427	17471432	Adipocytes	chr11:107732148-107732293	5CpGs	145bp	0.345	0.826	0.48	0.108	-0.219	5.04e-11	U
chr1	96525595	96526040	1114642	1114647	Adipocytes	chr1:96525595-96526040	5CpGs	445bp	0.383	0.866	0.483	0.0973	-0.227	1.88e-09	U
chr17	1475528	1475627	22907094	22907102	Adipocytes	chr17:1475528-1475627	8CpGs	99bp	0.271	0.91	0.639	0.287	-0.23	1.13e-19	U
chr9	127120637	127120815	14783988	14783996	Adipocytes	chr9:127120637-127120815	8CpGs	178bp	0.343	0.842	0.5	0.138	-0.233	1.52e-09	U
chr3	32190313	32190753	4839111	4839116	Adipocytes	chr3:32190313-32190753	5CpGs	440bp	0.328	0.851	0.523	0.139	-0.233	4.92e-10	U
chr4	8186396	8186466	6400064	6400069	Adipocytes	chr4:8186396-8186466	5CpGs	70bp	0.357	0.839	0.483	0.114	-0.234	4.87e-10	U
chr6	5130291	5130480	9379236	9379241	Adipocytes	chr6:5130291-5130480	5CpGs	189bp	0.37	0.89	0.519	0.246	-0.234	1e-13	U
chr12	553844	554024	17769879	17769886	Adipocytes	chr12:553844-554024	7CpGs	180bp	0.254	0.836	0.582	0.183	-0.251	1.31e-08	U
chr13	106462912	106463127	19800331	19800336	Adipocytes	chr13:106462912-106463127	5CpGs	215bp	0.295	0.853	0.558	0.251	-0.252	1.9e-13	U
chr5	80651120	80651268	8457642	8457650	Adipocytes	chr5:80651120-80651268	8CpGs	148bp	0.22	0.786	0.566	0.216	-0.26	1.87e-12	U
chr2	241578193	241578690	4553399	4553406	Adipocytes	chr2:241578193-241578690	7CpGs	497bp	0.338	0.858	0.52	0.133	-0.262	2.16e-10	U
chr9	125176918	125177616	14757054	14757077	Adipocytes	chr9:125176918-125177616	23CpGs	698bp	0.387	0.913	0.527	0.28	-0.266	4.27e-15	U
chr15	52104739	52104954	21179356	21179361	Adipocytes	chr15:52104739-52104954	5CpGs	215bp	0.392	0.874	0.482	0.0693	-0.27	1.2e-08	U
chr11	10508869	10508954	16582197	16582202	Adipocytes	chr11:10508869-10508954	5CpGs	85bp	0.215	0.793	0.578	0.266	-0.276	6.27e-13	U
chr11	10509072	10509322	16582202	16582211	Adipocytes	chr11:10509072-10509322	9CpGs	250bp	0.204	0.798	0.593	0.231	-0.28	8.8e-13	U
chr1	242456867	242457006	2300824	2300831	Adipocytes	chr1:242456867-242457006	7CpGs	139bp	0.365	0.837	0.471	0.0798	-0.288	6.39e-09	U
chr5	100053295	100053369	8582754	8582759	Adipocytes	chr5:100053295-100053369	5CpGs	74bp	0.244	0.785	0.54	0.19	-0.292	1.01e-12	U
chr19	29706409	29706656	25468971	25468976	Adipocytes	chr19:29706409-29706656	5CpGs	247bp	0.357	0.879	0.522	0.104	-0.293	7.32e-10	U
chr17	53105739	53105803	23669435	23669441	Adipocytes	chr17:53105739-53105803	6CpGs	64bp	0.199	0.797	0.599	0.272	-0.294	9.61e-13	U
chr5	100053706	100053794	8582763	8582768	Adipocytes	chr5:100053706-100053794	5CpGs	88bp	0.254	0.815	0.561	0.146	-0.301	1.79e-14	U
chr9	131320478	131320536	14869270	14869275	Adipocytes	chr9:131320478-131320536	5CpGs	58bp	0.366	0.9	0.534	0.114	-0.301	1.52e-13	U
chr5	134927550	134927671	8827984	8827989	Adipocytes	chr5:134927550-134927671	5CpGs	121bp	0.234	0.784	0.55	0.167	-0.303	3.23e-13	U
chr5	80650146	80650516	8457625	8457633	Adipocytes	chr5:80650146-80650516	8CpGs	370bp	0.257	0.813	0.557	0.274	-0.304	1.2e-15	U
chr5	134923327	134923469	8827890	8827895	Adipocytes	chr5:134923327-134923469	5CpGs	142bp	0.238	0.797	0.56	0.199	-0.306	1.21e-12	U
chr11	86951359	86951691	17335695	17335702	Adipocytes	chr11:86951359-86951691	7CpGs	332bp	0.361	0.867	0.506	0.0752	-0.307	3.86e-09	U
chr1	65490247	65490908	900695	900701	Adipocytes	chr1:65490247-65490908	6CpGs	661bp	0.385	0.847	0.463	0.0855	-0.31	1.78e-07	U
chr6	11951931	11952611	9450349	9450354	Adipocytes	chr6:11951931-11952611	5CpGs	680bp	0.337	0.802	0.465	0.123	-0.31	4.47e-07	U
chr9	130935896	130935944	14861524	14861529	Adipocytes	chr9:130935896-130935944	5CpGs	48bp	0.298	0.861	0.563	0.214	-0.311	4.3e-14	U
chr8	23386764	23386891	12728065	12728071	Adipocytes	chr8:23386764-23386891	6CpGs	127bp	0.356	0.892	0.536	0.0857	-0.315	1.91e-10	U
chr3	12294807	12294894	4679125	4679130	Adipocytes	chr3:12294807-12294894	5CpGs	87bp	0.36	0.907	0.548	0.216	-0.322	9.25e-13	U
chr8	61410425	61410728	13083702	13083708	Adipocytes	chr8:61410425-61410728	6CpGs	303bp	0.364	0.847	0.484	0.106	-0.323	1.36e-09	U
chr5	134927765	134928260	8827989	8827997	Adipocytes	chr5:134927765-134928260	8CpGs	495bp	0.288	0.794	0.506	0.134	-0.323	1.73e-12	U
chr10	71049524	71049893	15744854	15744860	Adipocytes	chr10:71049524-71049893	6CpGs	369bp	0.361	0.838	0.477	0.14	-0.33	4.2e-09	U
chr16	86597378	86597556	22776468	22776474	Adipocytes	chr16:86597378-86597556	6CpGs	178bp	0.335	0.841	0.507	0.0768	-0.336	1.86e-09	U
chr11	10507916	10508041	16582170	16582179	Adipocytes	chr11:10507916-10508041	9CpGs	125bp	0.238	0.781	0.542	0.184	-0.337	1.65e-11	U
chr1	3225275	3225317	86447	86452	Adipocytes	chr1:3225275-3225317	5CpGs	42bp	0.353	0.836	0.483	0.0888	-0.34	5.69e-08	U
chr9	19129152	19129254	13932895	13932902	Adipocytes	chr9:19129152-19129254	7CpGs	102bp	0.306	0.833	0.527	0.21	-0.343	2.93e-12	U
chr10	113103658	113104115	16145983	16145990	Adipocytes	chr10:113103658-113104115	7CpGs	457bp	0.38	0.87	0.49	0.0845	-0.381	8.29e-09	U
chr5	100051294	100051373	8582707	8582713	Adipocytes	chr5:100051294-100051373	6CpGs	79bp	0.267	0.754	0.487	0.126	-0.388	4.41e-10	U
chr5	94570589	94570707	8546009	8546014	Adipocytes	chr5:94570589-94570707	5CpGs	118bp	0.313	0.848	0.535	0.157	-0.442	5.9e-13	U
chr5	100051433	100051636	8582713	8582718	Adipocytes	chr5:100051433-100051636	5CpGs	203bp	0.306	0.811	0.505	0.154	-0.452	7.16e-13	U
chr3	96618344	96618492	5412197	5412203	Adipocytes	chr3:96618344-96618492	6CpGs	148bp	0.289	0.788	0.499	0.0797	-0.469	8.86e-11	U
chr6	34810402	34810867	9709634	9709641	Bladder-Ep	chr6:34810402-34810867	7CpGs	465bp	0.161	0.925	0.764	0.635	0.482	3.38e-102	U
chr12	10115130	10115195	17896284	17896290	Bladder-Ep	chr12:10115130-10115195	6CpGs	65bp	0.123	0.868	0.745	0.517	0.47	7.35e-45	U
chr19	44026287	44027108	25695961	25695971	Bladder-Ep	chr19:44026287-44027108	10CpGs	821bp	0.177	0.948	0.771	0.656	0.445	1.11e-113	U
chr4	2959465	2959745	6309924	6309933	Bladder-Ep	chr4:2959465-2959745	9CpGs	280bp	0.176	0.93	0.754	0.603	0.412	2.63e-81	U
chr9	112736704	112736924	14635561	14635567	Bladder-Ep	chr9:112736704-112736924	6CpGs	220bp	0.162	0.918	0.755	0.577	0.409	1.16e-70	U
chr7	44934331	44934676	11301373	11301378	Bladder-Ep	chr7:44934331-44934676	5CpGs	345bp	0.214	0.922	0.708	0.541	0.398	9.85e-82	U
chr1	33539006	33539129	567667	567676	Bladder-Ep	chr1:33539006-33539129	9CpGs	123bp	0.0918	0.893	0.801	0.576	0.398	1.22e-65	U
chr16	33983242	33983304	22246848	22246853	Bladder-Ep	chr16:33983242-33983304	5CpGs	62bp	0.145	0.904	0.759	0.576	0.394	4.49e-70	U
chr7	155788652	155788718	12376557	12376564	Bladder-Ep	chr7:155788652-155788718	7CpGs	66bp	0.128	0.931	0.802	0.657	0.391	7.09e-85	U
chr16	32878231	32878293	22235121	22235127	Bladder-Ep	chr16:32878231-32878293	6CpGs	62bp	0.179	0.906	0.727	0.493	0.382	3.4e-70	U
chr7	97779325	97779429	11811180	11811185	Bladder-Ep	chr7:97779325-97779429	5CpGs	104bp	0.135	0.934	0.799	0.576	0.382	1.29e-67	U
chr13	111039522	111039666	19849278	19849284	Bladder-Ep	chr13:111039522-111039666	6CpGs	144bp	0.201	0.924	0.723	0.561	0.382	5.85e-84	U
chr1	154281610	154281704	1506459	1506468	Bladder-Ep	chr1:154281610-154281704	9CpGs	94bp	0.141	0.921	0.78	0.619	0.376	4.47e-93	U
chr2	48509219	48509630	2876440	2876446	Bladder-Ep	chr2:48509219-48509630	6CpGs	411bp	0.153	0.885	0.732	0.459	0.375	1.15e-43	U
chr16	28567578	28568238	22159069	22159075	Bladder-Ep	chr16:28567578-28568238	6CpGs	660bp	0.182	0.938	0.756	0.551	0.373	6.87e-86	U
chr2	134518496	134518579	3661125	3661130	Bladder-Ep	chr2:134518496-134518579	5CpGs	83bp	0.136	0.914	0.778	0.517	0.371	1.96e-72	U
chr10	132179717	132179800	16380648	16380653	Bladder-Ep	chr10:132179717-132179800	5CpGs	83bp	0.164	0.902	0.737	0.539	0.369	9.8e-71	U
chr10	9229415	9229611	15159592	15159599	Bladder-Ep	chr10:9229415-9229611	7CpGs	196bp	0.0972	0.884	0.787	0.596	0.367	2.35e-62	U
chr2	112958274	112958428	3455638	3455643	Bladder-Ep	chr2:112958274-112958428	5CpGs	154bp	0.125	0.893	0.768	0.579	0.367	4.44e-61	U
chr11	57733358	57733549	16969789	16969799	Bladder-Ep	chr11:57733358-57733549	10CpGs	191bp	0.253	0.937	0.684	0.513	0.364	5.76e-77	U
chr3	189986306	189986383	6139513	6139519	Bladder-Ep	chr3:189986306-189986383	6CpGs	77bp	0.0572	0.914	0.857	0.609	0.358	6.1e-61	U
chr4	38567230	38567508	6633526	6633534	Bladder-Ep	chr4:38567230-38567508	8CpGs	278bp	0.189	0.918	0.729	0.557	0.355	8.98e-77	U
chr15	77156307	77156646	21445799	21445816	Bladder-Ep	chr15:77156307-77156646	17CpGs	339bp	0.14	0.912	0.773	0.462	0.351	2.03e-46	U
chr2	121662139	121663202	3537346	3537354	Bladder-Ep	chr2:121662139-121663202	8CpGs	1063bp	0.305	0.897	0.592	0.403	0.345	3e-53	U
chr3	70873752	70873989	5211053	5211058	Bladder-Ep	chr3:70873752-70873989	5CpGs	237bp	0.173	0.872	0.699	0.454	0.337	6.7e-46	U
chr14	102027161	102027441	20717400	20717410	Bladder-Ep	chr14:102027161-102027441	10CpGs	280bp	0.102	0.882	0.781	0.449	0.336	8.01e-45	U
chr7	116408879	116409015	11999953	11999962	Bladder-Ep	chr7:116408879-116409015	9CpGs	136bp	0.207	0.928	0.721	0.557	0.335	2.23e-87	U
chr18	2592394	2593369	24143185	24143195	Bladder-Ep	chr18:2592394-2593369	10CpGs	975bp	0.23	0.937	0.707	0.51	0.334	1.42e-68	U
chr14	81390150	81390519	20498403	20498408	Bladder-Ep	chr14:81390150-81390519	5CpGs	369bp	0.218	0.925	0.707	0.504	0.334	8.68e-63	U
chr7	102740228	102740668	11902360	11902366	Bladder-Ep	chr7:102740228-102740668	6CpGs	440bp	0.236	0.909	0.673	0.485	0.333	2.48e-65	U
chr12	11643370	11643628	17907833	17907839	Bladder-Ep	chr12:11643370-11643628	6CpGs	258bp	0.139	0.922	0.783	0.57	0.333	1.71e-64	U
chr4	128791807	128792239	7270005	7270012	Bladder-Ep	chr4:128791807-128792239	7CpGs	432bp	0.216	0.901	0.685	0.524	0.333	1.66e-60	U
chr9	79654865	79654971	14322436	14322443	Bladder-Ep	chr9:79654865-79654971	7CpGs	106bp	0.22	0.93	0.71	0.468	0.333	3.65e-58	U
chr4	88846953	88847762	7012128	7012137	Bladder-Ep	chr4:88846953-88847762	9CpGs	809bp	0.244	0.916	0.673	0.424	0.333	6.74e-63	U
chr1	185001566	185001852	1781826	1781846	Bladder-Ep	chr1:185001566-185001852	20CpGs	286bp	0.124	0.923	0.799	0.589	0.328	1.01e-75	U
chr1	203304102	203304369	1910758	1910764	Bladder-Ep	chr1:203304102-203304369	6CpGs	267bp	0.176	0.919	0.742	0.502	0.327	7.2e-69	U
chr17	41501824	41502412	23496246	23496255	Bladder-Ep	chr17:41501824-41502412	9CpGs	588bp	0.189	0.884	0.695	0.478	0.326	4.47e-47	U
chr19	56214293	56214479	25943684	25943689	Bladder-Ep	chr19:56214293-56214479	5CpGs	186bp	0.178	0.857	0.679	0.468	0.326	3.96e-49	U
chr1	182994161	182994373	1765036	1765044	Bladder-Ep	chr1:182994161-182994373	8CpGs	212bp	0.317	0.931	0.614	0.414	0.324	3.13e-69	U
chr17	8364958	8365106	23041168	23041173	Bladder-Ep	chr17:8364958-8365106	5CpGs	148bp	0.125	0.92	0.795	0.547	0.324	7.65e-60	U
chr16	1526679	1526809	21777314	21777327	Bladder-Ep	chr16:1526679-1526809	13CpGs	130bp	0.196	0.918	0.722	0.481	0.323	6.86e-65	U
chr1	14906424	14906523	281790	281795	Bladder-Ep	chr1:14906424-14906523	5CpGs	99bp	0.224	0.894	0.67	0.424	0.32	3.03e-55	U
chr7	1922680	1922827	10882241	10882249	Bladder-Ep	chr7:1922680-1922827	8CpGs	147bp	0.193	0.918	0.725	0.525	0.319	1.97e-63	U
chr2	151779435	151779889	3775056	3775063	Bladder-Ep	chr2:151779435-151779889	7CpGs	454bp	0.16	0.927	0.767	0.566	0.318	1.58e-74	U
chr17	7925453	7925717	23031401	23031408	Bladder-Ep	chr17:7925453-7925717	7CpGs	264bp	0.263	0.918	0.655	0.406	0.316	6.79e-69	U
chr2	227748798	227749247	4356465	4356470	Bladder-Ep	chr2:227748798-227749247	5CpGs	449bp	0.208	0.881	0.673	0.442	0.313	3.57e-49	U
chr15	101398556	101398668	21713246	21713258	Bladder-Ep	chr15:101398556-101398668	12CpGs	112bp	0.187	0.936	0.749	0.553	0.311	6.99e-76	U
chr3	128424918	128425197	5651699	5651706	Bladder-Ep	chr3:128424918-128425197	7CpGs	279bp	0.181	0.893	0.712	0.513	0.31	1.58e-58	U
chr18	8683410	8684227	24201901	24201907	Bladder-Ep	chr18:8683410-8684227	6CpGs	817bp	0.178	0.895	0.718	0.47	0.31	3.84e-52	U
chr20	45071087	45071420	26460182	26460187	Bladder-Ep	chr20:45071087-45071420	5CpGs	333bp	0.122	0.907	0.786	0.494	0.307	2.38e-48	U
chr4	2960114	2960596	6309939	6309950	Bladder-Ep	chr4:2960114-2960596	11CpGs	482bp	0.314	0.91	0.596	0.397	0.307	1.07e-63	U
chr6	34998819	34999802	9711642	9711661	Bladder-Ep	chr6:34998819-34999802	19CpGs	983bp	0.153	0.936	0.782	0.588	0.306	2.02e-79	U
chrY	14892634	14892718	29316642	29316650	Bladder-Ep	chrY:14892634-14892718	8CpGs	84bp	0.104	0.88	0.776	0.38	0.306	2.82e-24	U
chr2	10022158	10022345	2498397	2498404	Bladder-Ep	chr2:10022158-10022345	7CpGs	187bp	0.225	0.918	0.693	0.491	0.305	5.5e-62	U
chr1	246620875	246621906	2349381	2349392	Bladder-Ep	chr1:246620875-246621906	11CpGs	1031bp	0.308	0.933	0.624	0.478	0.305	6.19e-78	U
chr8	61234258	61234391	13082613	13082618	Bladder-Ep	chr8:61234258-61234391	5CpGs	133bp	0.113	0.828	0.715	0.356	0.304	4.43e-33	U
chr17	45131287	45131390	23564884	23564890	Bladder-Ep	chr17:45131287-45131390	6CpGs	103bp	0.0853	0.886	0.801	0.549	0.303	1.16e-56	U
chr10	109825978	109826178	16115483	16115497	Bladder-Ep	chr10:109825978-109826178	14CpGs	200bp	0.141	0.918	0.777	0.501	0.302	1.11e-55	U
chr7	93310675	93311326	11780394	11780402	Bladder-Ep	chr7:93310675-93311326	8CpGs	651bp	0.279	0.935	0.656	0.424	0.291	4.46e-72	U
