chr	start	end	startCpG	endCpG	target	name	direction	Adipocytes	Bladder-Ep	Blood-B	Blood-Granul	Blood-Mono+Macro	Blood-NK	Blood-T	Bone-Osteob	Breast-Basal-Ep	Breast-Luminal-Ep	Colon-Ep	Colon-Fibro	Dermal-Fibro	Endothel	Epid-Kerat	Eryth-prog	Fallopian-Ep	Gallbladder	Gastric-Ep	Head-Neck-Ep	Heart-Cardio	Heart-Fibro	Kidney-Ep	Liver-Hep	Lung-Ep-Alveo	Lung-Ep-Bron	Neuron	Oligodend	Ovary-Ep	Pancreas-Acinar	Pancreas-Alpha	Pancreas-Beta	Pancreas-Delta	Pancreas-Duct	Megakaryocytes	Prostate-Ep	Skeletal-Musc	Small-Int-Ep	Smooth-Musc	Thyroid-Ep
chr1	32798151	32798792	557147	557158	Breast-Luminal-Ep	chr1:32798151-32798792	U	0.0	0.016	0.0	0.0	0.001	0.029	0.014	0.0	0.063	0.663	0.0	0.0	0.0	0.001	0.013	0.033	0.0	0.0	0.0	0.036	0.0	0.009	0.0	0.0	0.003	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.003	0.0
chr1	33539006	33539129	567667	567676	Bladder-Ep	chr1:33539006-33539129	U	0.007	0.946	0.005	0.0	0.005	0.0	0.007	0.0	0.007	0.0	0.048	0.009	0.024	0.002	0.0	0.146	0.0	0.0	0.023	0.0	0.0	0.012	0.002	0.003	0.0	0.0	0.004	0.0	0.011	0.011	0.008	0.008	0.0	0.0	0.0	0.225	0.0	0.062	0.005	0.0
chr1	39435714	39436468	638338	638347	Pancreas-Duct	chr1:39435714-39436468	U	0.0	0.0	0.0	0.0	0.009	0.0	0.002	0.0	0.022	0.0	0.005	0.0	0.0	0.004	0.0	0.037	0.0	0.062	0.0	0.015	0.086	0.0	0.043	0.0	0.016	0.028	0.0	0.0	0.0	0.05	0.03	0.161	0.09	0.58	0.0	0.022	0.0	0.0	0.0	0.0
chr1	41896637	41896810	670393	670401	Blood-NK	chr1:41896637-41896810	U	0.0	0.0	0.025	0.0	0.002	0.803	0.012	0.0	0.008	0.01	0.0	0.0	0.0	0.0	0.0	0.062	0.01	0.0	0.0	0.002	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.01
chr1	43764408	43764616	692808	692814	Gallbladder	chr1:43764408-43764616	U	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	1.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0
chr1	46483695	46483758	728562	728568	Pancreas-Duct	chr1:46483695-46483758	U	0.045	0.0	0.0	0.0	0.002	0.0	0.001	0.047	0.0	0.009	0.003	0.0	0.069	0.055	0.0	0.092	0.033	0.0	0.0	0.0	0.0	0.074	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.118	0.114	0.083	0.01	0.957	0.0	0.0	0.041	0.0	0.073	0.0
chr1	54339634	54339950	806382	806393	Gastric-Ep	chr1:54339634-54339950	U	0.0	0.004	0.0	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.0	0.0	0.913	0.002	0.004	0.0	0.0	0.0	0.021	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.005	0.017	0.0	0.012	0.0
chr1	54630392	54630649	811242	811251	Head-Neck-Ep	chr1:54630392-54630649	U	0.005	0.103	0.079	0.0	0.021	0.015	0.039	0.0	0.054	0.119	0.013	0.157	0.0	0.017	0.143	0.197	0.0	0.0	0.0	0.93	0.004	0.032	0.002	0.0	0.014	0.298	0.002	0.005	0.107	0.004	0.013	0.0	0.0	0.0	0.0	0.089	0.0	0.06	0.033	0.0
chr1	55201331	55201558	817948	817957	Skeletal-Musc	chr1:55201331-55201558	U	0.0	0.011	0.0	0.007	0.002	0.008	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.033	0.129	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.632	0.0	0.0	0.0
chr1	59580390	59580738	849445	849450	Blood-Mono+Macro	chr1:59580390-59580738	U	0.25	0.0	0.25	0.0	0.897	0.0	0.027	0.0	0.0	0.0	0.0	0.4	0.0	0.028	NA	0.667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	70195694	70195888	931993	932001	Kidney-Ep	chr1:70195694-70195888	U	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.027	0.0	0.0	0.0	0.0	0.01	0.01	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.004	0.0	0.0	0.004	0.0
chr1	78520528	78521211	983443	983448	Lung-Ep-Bron	chr1:78520528-78521211	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	84563078	84563385	1019617	1019624	Epid-Kerat	chr1:84563078-84563385	U	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.001	0.717	0.063	0.0	0.0	0.0	0.0	0.0	0.009	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	90854363	90854947	1067272	1067279	Ovary-Ep	chr1:90854363-90854947	U	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.091	0.154	0.0	0.0	0.0	0.0	0.0	0.143	0.0	0.0	0.0	0.045	0.083	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	101246726	101246956	1144654	1144666	Blood-B	chr1:101246726-101246956	U	0.042	0.01	0.973	0.0	0.021	0.0	0.0	0.0	0.004	0.0	0.006	0.241	0.0	0.036	0.029	0.059	0.0	0.0	0.002	0.005	0.0	0.0	0.023	0.002	0.007	0.0	0.0	0.003	0.005	0.064	0.033	0.006	0.007	0.0	0.0	0.004	0.007	0.0	0.012	0.034
chr1	109884018	109884508	1203891	1203897	Adipocytes	chr1:109884018-109884508	U	0.728	0.0	0.0	0.0	0.002	0.0	0.001	0.282	0.015	0.043	0.0	0.179	0.36	0.271	0.0	0.244	0.0	0.0	0.005	0.013	0.0	0.09	0.0	0.0	0.005	0.0	0.035	0.228	0.008	0.023	0.009	0.0	0.0	0.177	0.0	0.013	0.119	0.0	0.005	0.0
chr1	111418431	111419704	1218666	1218676	Fallopian-Ep	chr1:111418431-111419704	U	0.103	0.032	0.0	0.0	0.019	0.0	0.005	0.0	0.0	0.0	0.0	0.062	0.1	0.005	0.0	0.25	0.959	0.0	0.005	0.0	0.071	0.125	0.034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.082	0.015
chr1	111425276	111425484	1218715	1218721	Fallopian-Ep	chr1:111425276-111425484	U	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.15	0.0	0.0	0.0	0.0	0.053	0.029	0.0	0.29	0.902	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.079	0.0	0.015	0.018
chr1	111442837	111443029	1218843	1218848	Fallopian-Ep	chr1:111442837-111443029	U	0.016	0.0	0.0	0.032	0.003	0.033	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.132	0.824	0.0	0.0	0.003	0.0	0.011	0.0	0.0	0.0	0.011	0.0	0.0	0.027	0.0	0.014	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	115928744	115929135	1260865	1260875	Epid-Kerat	chr1:115928744-115929135	U	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.75	0.097	0.0	0.0	0.003	0.027	0.0	0.0	0.0	0.021	0.007	0.0	0.0	0.0	0.0	0.009	0.027	0.011	0.0	0.0	0.0	0.025	0.0	0.0	0.007	0.0
chr1	117071962	117072528	1271403	1271413	Gastric-Ep	chr1:117071962-117072528	U	0.024	0.0	0.0	0.007	0.0	0.0	0.005	0.0	0.0	0.0	0.004	0.0	0.0	0.004	0.0	0.014	0.0	0.0	0.952	0.0	0.0	0.008	0.0	0.004	0.0	0.007	0.0	0.006	0.0	0.006	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.009
chr1	143321469	143322362	1379639	1379645	Smooth-Musc	chr1:143321469-143322362	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	148405394	148405820	1436512	1436519	Blood-Granul	chr1:148405394-148405820	U	0.0	0.0	0.0	0.959	0.065	0.0	0.0	0.0	0.0	0.0	0.006	0.022	0.0	0.003	0.0	0.052	0.0	0.0	0.002	0.0	0.0	0.018	0.003	0.008	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.25	0.0	0.14	0.0	0.0	0.0
chr1	150841140	150841246	1465802	1465808	Gastric-Ep	chr1:150841140-150841246	U	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.006	0.0	0.047	0.0	0.091	0.935	0.0	0.0	0.089	0.0	0.005	0.006	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.018	0.0	0.0	0.0
chr1	150969199	150969342	1467751	1467756	Breast-Luminal-Ep	chr1:150969199-150969342	U	0.019	0.0	0.0	0.0	0.003	0.011	0.0	0.0	0.053	0.805	0.0	0.014	0.0	0.004	0.0	0.031	0.0	0.042	0.0	0.005	0.0	0.014	0.021	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0
chr1	151023490	151023547	1468809	1468814	Heart-Cardio	chr1:151023490-151023547	U	0.009	0.0	0.008	0.0	0.003	0.0	0.003	0.0	0.0	0.0	0.017	0.016	0.0	0.002	0.0	0.027	0.01	0.0	0.019	0.018	0.957	0.0	0.027	0.005	0.012	0.0	0.007	0.0	0.0	0.0	0.01	0.011	0.0	0.0	0.0	0.007	0.015	0.007	0.013	0.024
chr1	151062393	151062653	1469435	1469445	Neuron	chr1:151062393-151062653	U	0.005	0.0	0.008	0.011	0.008	0.0	0.007	0.017	0.0	0.006	0.0	0.008	0.019	0.006	0.0	0.057	0.007	0.0	0.008	0.005	0.0	0.014	0.007	0.007	0.022	0.0	0.637	0.005	0.005	0.004	0.014	0.0	0.021	0.02	0.0	0.0	0.009	0.011	0.007	0.0
chr1	151711596	151711796	1479643	1479652	Neuron	chr1:151711596-151711796	U	0.011	0.0	0.073	0.0	0.007	0.0	0.01	0.031	0.007	0.0	0.0	0.107	0.094	0.025	0.0	0.139	0.008	0.0	0.004	0.042	0.02	0.035	0.0	0.003	0.0	0.005	0.835	0.011	0.006	0.027	0.068	0.126	0.058	0.0	0.0	0.0	0.021	0.0	0.052	0.076
chr1	154281610	154281704	1506459	1506468	Bladder-Ep	chr1:154281610-154281704	U	0.0	0.866	0.017	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.043	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.008	0.0	0.126	0.013	0.0	0.0	0.0
chr1	156131522	156132030	1537795	1537802	Pancreas-Delta	chr1:156131522-156132030	U	0.02	0.011	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.175	0.05	0.019	0.0	0.083	0.0	0.0	0.0	0.028	0.037	0.0	0.034	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.269	0.96	0.0	0.0	0.0	0.0	0.012	0.012	0.0
chr1	156418438	156418552	1542632	1542637	Neuron	chr1:156418438-156418552	U	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.04	0.0	0.008	0.0	0.119	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.774	0.128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	164792732	164793043	1619611	1619619	Lung-Ep-Bron	chr1:164792732-164793043	U	0.02	0.274	0.062	0.011	0.011	0.012	0.027	0.029	0.019	0.025	0.0	0.057	0.0	0.002	0.115	0.112	0.0	0.0	0.003	0.148	0.0	0.0	0.0	0.005	0.007	0.973	0.083	0.0	0.009	0.014	0.0	0.0	0.0	0.0	0.0	0.265	0.016	0.0	0.0	0.0
chr1	167451940	167452576	1640954	1640970	Blood-NK	chr1:167451940-167452576	U	0.004	0.0	0.0	0.0	0.003	0.581	0.045	0.0	0.0	0.005	0.0	0.01	0.0	0.003	0.0	0.128	0.0	0.037	0.002	0.004	0.003	0.004	0.002	0.006	0.0	0.0	0.002	0.0	0.0	0.003	0.0	0.013	0.005	0.0	0.059	0.0	0.006	0.0	0.006	0.0
chr1	167501115	167501148	1641701	1641706	Blood-NK	chr1:167501115-167501148	U	0.009	0.0	0.0	0.0	0.003	0.818	0.112	0.0	0.0	0.0	0.0	0.033	0.0	0.0	0.0	0.092	0.0	0.0	0.0	0.0	0.015	0.035	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.012	0.0
chr1	167900862	167901279	1646154	1646159	Colon-Ep	chr1:167900862-167901279	U	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0
chr1	167916245	167916356	1646286	1646292	Gallbladder	chr1:167916245-167916356	U	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.017	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.006	0.0
chr1	168224931	168225287	1649457	1649463	Ovary-Ep	chr1:168224931-168225287	U	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.077	0.0	0.0	0.0	0.0	0.0	0.0	0.091	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0
chr1	168291243	168291461	1650114	1650126	Pancreas-Delta	chr1:168291243-168291461	U	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.046	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.042	0.0	0.0	0.004	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.02	0.333	0.911	0.0	0.0	0.0	0.0	0.003	0.0	0.0
chr1	169196092	169196821	1656350	1656357	Fallopian-Ep	chr1:169196092-169196821	U	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.556	0.5	0.0	0.0	0.0	0.0	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.2
chr1	172610104	172610247	1679353	1679359	Fallopian-Ep	chr1:172610104-172610247	U	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.011	0.116	0.0	0.019	0.0	0.0	0.962	0.0	0.0	0.004	0.007	0.166	0.003	0.0	0.0	0.0	0.005	0.105	0.056	0.313	0.027	0.057	0.075	0.221	0.25	0.0	0.012	0.004	0.006	0.0
chr1	181132269	181132559	1749221	1749235	Blood-B	chr1:181132269-181132559	U	0.004	0.0	0.893	0.0	0.019	0.0	0.001	0.0	0.0	0.0	0.0	0.104	0.0	0.016	0.0	0.062	0.0	0.0	0.002	0.004	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0
chr1	184109865	184110291	1774719	1774724	Pancreas-Delta	chr1:184109865-184110291	U	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.0	0.875	0.0	0.0	0.0	0.0	0.0	0.13	0.0
chr1	185367285	185367564	1784953	1784959	Endothel	chr1:185367285-185367564	U	0.409	0.0	0.0	0.0	0.051	0.021	0.0	0.476	0.0	0.0	0.016	0.147	0.071	0.738	0.0	0.152	0.0	0.0	0.0	0.008	0.038	0.102	0.079	0.042	0.0	0.0	0.016	0.0	0.017	0.01	0.138	0.023	0.0	0.0	NA	0.029	0.163	0.0	0.097	0.016
chr1	198268506	198268744	1859915	1859921	Heart-Fibro	chr1:198268506-198268744	U	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.035	0.0	0.031	0.0	0.0	0.0	0.0	0.034	0.864	0.0	0.0	0.055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.0
chr1	206062945	206063674	1945223	1945246	Ovary-Ep	chr1:206062945-206063674	U	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.036	0.0	0.0	0.119	0.0	0.0	0.111	0.003	0.0	0.0	0.0	0.0	0.893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	207762776	207763119	1961513	1961522	Breast-Basal-Ep	chr1:207762776-207763119	U	0.0	0.005	0.0	0.0	0.0	0.0	0.001	0.0	0.755	0.009	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.004	0.0	0.013	0.0	0.004	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0
chr1	214399018	214399161	2022339	2022345	Blood-NK	chr1:214399018-214399161	U	0.008	0.0	0.006	0.022	0.103	0.905	0.05	0.0	0.009	0.0	0.0	0.012	0.0	0.0	0.0	0.128	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.008	0.0	0.0	0.003	0.0	0.0	0.006	0.0	0.012	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0
chr1	221907261	221907493	2076646	2076651	Dermal-Fibro	chr1:221907261-221907493	U	0.245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.012	0.036	0.846	0.048	0.0	0.247	0.033	0.0	0.009	0.017	0.0	0.035	0.035	0.0	0.009	0.011	0.013	0.071	0.121	0.056	0.076	0.0	0.0	0.0	0.0	0.0	0.106	0.0	0.147	0.0
chr1	226254707	226255135	2121732	2121745	Thyroid-Ep	chr1:226254707-226255135	U	0.0	0.025	0.0	0.0	0.002	0.0	0.001	0.0	0.0	0.02	0.003	0.01	0.0	0.005	0.0	0.023	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.003	0.015	0.005	0.0	0.0	0.006	0.005	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.004	0.0	0.898
